kappa,alpha_star,params_per_robust_label,alpha_spherical,binary_over_spherical,alpha_annealed,alpha_over_annealed
-2.0,29.992083209315215,0.033342132089357865,173.34847870033292,0.1730161316336814,30.119928369402952,0.9957554626784038
-1.95,26.604959781879895,0.03758697657122865,149.76833044293772,0.1776407582510675,26.740625747618964,0.99492659719262
-1.9,23.645858901081358,0.04229070317062023,129.64631857003485,0.18238743037125177,23.789285832022237,0.9939709442328943
-1.85,21.05572474816985,0.04749302206217904,112.44395918957093,0.18725527720588078,21.20678414077308,0.9928768364123254
-1.8,18.784245900505642,0.05323610036286214,97.71094430035389,0.19224300854942827,18.94274129295494,0.9916329220782716
-1.75,16.788484940243862,0.05956463633016038,85.07006122746228,0.19734892273504337,16.954154546236694,0.9902283770304781
-1.7,15.031732920866743,0.06652592919688059,74.20479219149935,0.20257091862847001,15.204254031692011,0.9886531025813129
-1.65,13.482550311527326,0.07416994388257679,64.84910103120247,0.20790651060899257,13.66154520623631,0.9868979026891281
-1.6,12.113962849301007,0.08254936988334098,56.7790076473901,0.2133528455539648,12.299005883908977,0.984954634841661
-1.55,10.902786278587035,0.09171967370982867,49.805626019629905,0.21890672098549502,11.093411790205124,0.9828163314205643
-1.5,9.829058488476562,0.10173914431096169,43.769402326442844,0.22456460371949002,10.024769147310343,0.9804772902041051
-1.45,8.875561268490566,0.11266893098356881,38.535338684491215,0.2303226485475938,9.075836534376831,0.977933134303634
-1.4,8.02741694742288,0.12457307332479343,33.98902762725366,0.23617671665859014,8.231721330671654,0.9751808431017303
-1.35,7.271747684500603,0.13751852283481372,30.033354514508087,0.24212239365362503,7.479538565501899,0.9722187566543615
-1.3,6.597387247041976,0.15157515582374873,26.5857510735887,0.2481550071231981,6.808122068347914,0.9690465565701768
-1.25,5.9946368147135205,0.16681577732041292,23.575904399517057,0.25426964383331646,6.207779517474853,0.9656652266464463
-1.2,5.455057762122079,0.18331611572358286,20.94384292664139,0.26046116661727975,5.670084391848111,0.9620769965901784
-1.15,4.971295541188818,0.20115480798006702,18.63833488544192,0.2667242310938307,5.187698993394431,0.9582852720481349
-1.1,4.536929755100707,0.2204133751190959,16.615546181848295,0.2730533023378485,4.75422366841675,0.9542945539648103
-1.05,4.146346321376475,0.24117618801992088,14.837913971086108,0.2794426716219174,4.364068154048491,0.9501103500251163
-1.0,3.794628291219359,0.26353042333921506,13.273199837024512,0.28588647333060957,4.012341637202948,0.9457390806493338
-0.95,3.477462449305569,0.28756600957680933,11.893692748471006,0.2923787021278664,3.6947586633823835,0.9411879817130221
-0.9,3.1910592818107792,0.31337556331217575,10.67553710210916,0.29891323043412243,3.407558490475448,0.9364650058774306
-0.85,2.9320842867774233,0.34105431569945543,9.59816538509248,0.3054838262457354,3.147435864284986,0.9315787241445554
-0.8,2.6975989230765505,0.3707000293651966,8.64381846662347,0.3120841713061001,2.9114815111188497,0.9265382289993981
-0.75,2.4850097631417456,0.4024129059097623,7.797139393394147,0.3187078796163479,2.6971309091338425,0.9213530402718875
-0.7,2.2920246393867334,0.436295484269997,7.044828929221311,0.325348516254188,2.502120123128309,0.9160330146424381
-0.65,2.116614762242501,0.4724525302566277,6.37535303461875,0.33199961645246767,2.3244476744523084,0.9105882595275983
-0.6,1.9569819452551975,0.5109909176344478,5.778694100767594,0.3386547048744539,2.1623415746878774,0.905029051914556
-0.55,1.8115302047983637,0.5520195011660362,5.246139094222531,0.3453073150106458,2.0142307837397064,0.8993657625642082
-0.5,1.67884111291698,0.5956489820900942,4.7700988826193855,0.3519510086120237,1.8787204641021937,0.8936087858707962
-0.45,1.5576523751532336,0.6419917665529353,4.343953937628295,0.35857939506690034,1.7545704967584772,0.8877684755505438
-0.4,1.4468391838200214,0.6911618175558026,3.9619223821942495,0.36518615062284787,1.6406768032641408,0.8818550862311957
-0.35,1.3453979635063604,0.7432745010211044,3.6189469916040924,0.3717650373513802,1.5360550854361765,0.8758787209277216
-0.3,1.2524321816267658,0.7984464266169803,3.310598294196739,0.37830992175106143,1.4398266506731137,0.8698492843157601
-0.25,1.1671399442326345,0.8567952840115288,3.0329913657539946,0.38481479288434645,1.3512060389140157,0.8637764416525863
-0.2,1.088803137475601,0.9184396752552607,2.7827142867321393,0.39127377994462714,1.2694902079698083,0.8576695831445874
-0.15,1.016777909206487,0.9834989440126793,2.556766545856981,0.39768116915253277,1.1940490685728364,0.8515377935194662
-0.1,0.9504863141725595,1.0520930023811488,2.352505937395917,0.4040314198844024,1.124317189945657,0.8453898265297363
-0.075,0.9193262169764276,1.0877531626247976,2.2577691801274886,0.4071834380007421,1.0914313966364506,0.8423124163457153
-0.05,0.8894089709449193,1.1243421560472764,2.167602721064711,0.41031917994089245,1.059786521788661,0.8392340840906468
0.0,0.8330785997395792,1.200366928537836,2.0,0.4165392998697896,1.0,0.8330785997395792
0.05,0.7810743282532177,1.280287885323775,1.8478794293141942,0.4226868462641519,0.9445459217346157,0.826931026094327
0.075,0.7565743982054611,1.321747077844461,1.7771145505830805,0.4257319247975462,0.9183260636776409,0.8238624908189915
0.1,0.7330166679897558,1.3642254585321043,1.7096315002483509,0.42875711396477756,0.8930529910564164,0.8207986259837176
0.13,0.7059325315101113,1.416565968224793,1.632741282413337,0.43236031275370224,0.863917735751451,0.8171293426405681
0.15,0.6885630767030616,1.4522997730115632,1.5838297568410484,0.434745637104585,0.8451859498383045,0.8146882669249211
0.19,0.6553861168394994,1.5258181006676628,1.4912941095571668,0.4394747572858807,0.8092982967597453,0.8098202102531578
0.2,0.6474040338574046,1.5446304744839714,1.4692083966582226,0.4406481989416565,0.8006417200556447,0.8086064186268109
0.25,0.6092595656912763,1.6413365604943486,1.3646427872475464,0.4464608404373272,0.7591459934841552,0.8025591532071922
0.3,0.5738761647983593,1.7425362148493588,1.269132497900072,0.4521798675456696,0.7204502132934162,0.7965521478229309
0.35,0.5410240563115155,1.848346646205712,1.1817865039501212,0.45780185719090777,0.6843288993255073,0.7905906894254549
0.4,0.5104947689605392,1.9588839314380888,1.1018102698349872,0.46332366191957314,0.6505772751370095,0.784679681369182
0.45,0.48209897461513646,2.074262864380303,1.0284944588196967,0.46874241322446664,0.6190091603078138,0.7788236516167285
0.5,0.45566456454243665,2.1945968104940685,0.9612050528015418,0.4740555235476034,0.5894550962060101,0.7730267623018147
0.55,0.43103493460634884,2.3199975679773375,0.8993746958950463,0.4792606869791776,0.5617606774500493,0.7672928204282786
0.6,0.40806745510185943,2.4505752357790596,0.8424951013596064,0.48435587867908797,0.53578506481725,0.7616252895012041
0.65,0.38663210392555897,2.586438088939808,0.7901103835415916,0.4893393530566183,0.5113996583880629,0.7560273019036177
0.7,0.36661024439792883,2.727692461628466,0.7418111954267257,0.4942096407523708,0.4884869123536762,0.7505016718492844
0.75,0.347893531327568,2.8744426381944552,0.6972295686148086,0.49896554447444164,0.4669392752062906,0.745050908758684
0.8,0.33038293088908,3.0267907525032873,0.6560343664408046,0.5036061337480118,0.44665824102448903,0.7396772309210926
0.85,0.31398784161457305,3.1848366957709207,0.6179272729150355,0.5081307386439733,0.4275534993013722,0.7343825793207941
0.9,0.2986253053077821,3.348678033059981,0.5826392504294046,0.5125389425578444,0.40954217227559286,0.729168631519658
0.95,0.284219298008996,3.518409928548724,0.549927408020835,0.5168305741150254,0.39254813004512457,0.7240368155016409
1.0,0.27070009229346165,3.694125079632097,0.519572229604938,0.5210056982823952,0.37650137489635954,0.7189883233971667
1.05,0.25800368319740413,3.875913659863835,0.49137511816859014,0.5250646067692899,0.36133748728916415,0.7140241250167713
1.1,0.24607127095294345,4.063863270699453,0.465156217589377,0.5290078078031115,0.3469971268209152,0.7091449811339231
1.15,0.23484879449210838,4.258058901952776,0.44075247866033734,0.532836015366105,0.3334255822657943,0.7043514564665161
1.2,0.22428651036477817,4.458582900833431,0.4180159401487347,0.5365501379803232,0.32057236546392276,0.6996439323152431
1.25,0.21433861231775778,4.665514949389969,0.396812199400417,0.5401512671274302,0.3083908444305655,0.6950226188249123
1.3,0.20496288731274065,4.8789320501431055,0.3770190501958331,0.5436406653888651,0.29683791157921846,0.6904875668418159
1.35,0.19612040422866933,5.098908519656303,0.3585252683376414,0.5470197543900108,0.28587368341312147,0.6860386793465421
1.4,0.1877752319068101,5.325515989756755,0.34122952786095984,0.5502901026294609,0.27546122844554866,0.681675722447191
1.45,0.17989418356152692,5.55882341608884,0.325039432855284,0.5534534132713075,0.2655663204670373,0.6773983359228558
1.5,0.17244658490219628,5.798897093654558,0.3098706517144866,0.5565115119746409,0.25615721459350754,0.6732060433115243
